,id,Date,source,symbols,dayofweek,Close
197,1.0196858524636815e+18,2018-07-18,catoira_manuel,GOOGL,Wed,1212.9100341796875
198,1.019686644826497e+18,2018-07-18,trader1911,GOOGL,Wed,1212.9100341796875
199,1.0196896993199186e+18,2018-07-18,OlympiaReport,GOOGL,Wed,1212.9100341796875
200,1.0196898673689436e+18,2018-07-18,dispatchtribune,GOOGL,Wed,1212.9100341796875
201,1.019690687095296e+18,2018-07-18,davidnelsoncfa,GOOGL,Wed,1212.9100341796875
202,1.0196912437086945e+18,2018-07-18,TedDixon,GOOGL,Wed,1212.9100341796875
203,1.0196921753140797e+18,2018-07-18,xisco1986,GOOGL,Wed,1212.9100341796875
204,1.0196933284876001e+18,2018-07-18,Barchart,GOOGL,Wed,1212.9100341796875
205,1.0196965689732997e+18,2018-07-18,IlyaTheMaster,GOOGL,Wed,1212.9100341796875
206,1.0197002562908897e+18,2018-07-18,OmglolU,GOOGL,Wed,1212.9100341796875
207,1.0197034418562662e+18,2018-07-18,JouleTalk,GOOGL,Wed,1212.9100341796875
208,1.0197038122300211e+18,2018-07-18,naashonomics,GOOGL,Wed,1212.9100341796875
209,1.019707765714047e+18,2018-07-18,RatingsNetwork,GOOGL,Wed,1212.9100341796875
210,1.0197077874656461e+18,2018-07-18,MarketBeatNews,GOOGL,Wed,1212.9100341796875
211,1.0197080068445184e+18,2018-07-18,tomborelli,GOOGL,Wed,1212.9100341796875
212,1.0197091273779364e+18,2018-07-18,Josh_Mulherin,GOOGL,Wed,1212.9100341796875
213,1.0197116729305252e+18,2018-07-18,IBD_DChung,GOOGL,Wed,1212.9100341796875
214,1.0197118067581051e+18,2018-07-18,ProCapitalCat,GOOGL,Wed,1212.9100341796875
215,1.0197178773379195e+18,2018-07-18,MareaInformativ,GOOGL,Wed,1212.9100341796875
216,1.0197216428328837e+18,2018-07-18,MP_Fitzgerald,GOOGL,Wed,1212.9100341796875
217,1.0197271925138309e+18,2018-07-18,NaviAvatar1,GOOGL,Wed,1212.9100341796875
218,1.0197288201469829e+18,2018-07-18,jordandberry,GOOGL,Wed,1212.9100341796875
219,1.0197299787143496e+18,2018-07-18,PeterSong909,GOOGL,Wed,1212.9100341796875
220,1.0197194650957906e+18,2018-07-18,jimcramer,GOOG,Wed,1195.8800048828125
221,1.0197194650957906e+18,2018-07-18,jimcramer,GOOG,Wed,1195.8800048828125
222,1.0197194650957906e+18,2018-07-18,jimcramer,GOOG,Wed,1195.8800048828125
223,1.0196419188196557e+18,2018-07-18,Alea_,GOOG,Wed,1195.8800048828125
224,1.0196420953914286e+18,2018-07-18,TheStreet,GOOG,Wed,1195.8800048828125
225,1.0196442738206679e+18,2018-07-18,HowardStrauber,GOOG,Wed,1195.8800048828125
226,1.0196444157307494e+18,2018-07-18,realmoney,GOOG,Wed,1195.8800048828125
227,1.0196444528293192e+18,2018-07-18,jimcramer,GOOG,Wed,1195.8800048828125
228,1.0196445437493166e+18,2018-07-18,whotrades,GOOG,Wed,1195.8800048828125
229,1.0196450847851725e+18,2018-07-18,TheStreet,GOOG,Wed,1195.8800048828125
230,1.019645899683885e+18,2018-07-18,syberstock,GOOG,Wed,1195.8800048828125
231,1.0196475698179891e+18,2018-07-18,oliviabvoz,GOOG,Wed,1195.8800048828125
232,1.0196477013513626e+18,2018-07-18,WhitexSnake,GOOG,Wed,1195.8800048828125
233,1.0196478289125663e+18,2018-07-18,theflynews,GOOG,Wed,1195.8800048828125
234,1.0196478320836485e+18,2018-07-18,tradnews_,GOOG,Wed,1195.8800048828125
235,1.0196478584784036e+18,2018-07-18,denis_horan,GOOG,Wed,1195.8800048828125
236,1.0196480258940518e+18,2018-07-18,arnabch01,GOOG,Wed,1195.8800048828125
237,1.0196487325294141e+18,2018-07-18,jedimarkus77,GOOG,Wed,1195.8800048828125
238,1.0196492693163213e+18,2018-07-18,Breaking24Seven,GOOG,Wed,1195.8800048828125
239,1.0196499476443218e+18,2018-07-18,MarketCurrents,GOOG,Wed,1195.8800048828125
240,1.019649948894163e+18,2018-07-18,SAlphaTech,GOOG,Wed,1195.8800048828125
241,1.0196504245284086e+18,2018-07-18,MooreToTheStory,GOOG,Wed,1195.8800048828125
242,1.0196507313667604e+18,2018-07-18,ELPfan,GOOG,Wed,1195.8800048828125
243,1.0196511590472991e+18,2018-07-18,ELPfan,GOOG,Wed,1195.8800048828125
244,1.0196538760253153e+18,2018-07-18,LaurieInMadison,GOOG,Wed,1195.8800048828125
245,1.0196548047658476e+18,2018-07-18,LaurieInMadison,GOOG,Wed,1195.8800048828125
246,1.0196551107067822e+18,2018-07-18,syberstock,GOOG,Wed,1195.8800048828125
247,1.0196552494837146e+18,2018-07-18,TweetLeni,GOOG,Wed,1195.8800048828125
248,1.0196570117163377e+18,2018-07-18,teresaarthur66,GOOG,Wed,1195.8800048828125
249,1.0196573885746299e+18,2018-07-18,realmoney,GOOG,Wed,1195.8800048828125
250,1.0196581638076334e+18,2018-07-18,MarketCurrents,GOOG,Wed,1195.8800048828125
251,1.0196581649527071e+18,2018-07-18,SAlphaTech,GOOG,Wed,1195.8800048828125
252,1.0196582937598894e+18,2018-07-18,HyllandCapital,GOOG,Wed,1195.8800048828125
253,1.0196585672829829e+18,2018-07-18,UNSCAMMABLE,GOOG,Wed,1195.8800048828125
254,1.0196599749334712e+18,2018-07-18,OpenMarketingTV,GOOG,Wed,1195.8800048828125
255,1.0196601443286958e+18,2018-07-18,AimHighProfits,GOOG,Wed,1195.8800048828125
256,1.0196603187403776e+18,2018-07-18,32Trades,GOOG,Wed,1195.8800048828125
257,1.0196603810006876e+18,2018-07-18,ShaneO_Brien,GOOG,Wed,1195.8800048828125
258,1.0196670426837606e+18,2018-07-18,hwy183,GOOG,Wed,1195.8800048828125
259,1.0196678840359322e+18,2018-07-18,Ahorraysefeliz,GOOG,Wed,1195.8800048828125
260,1.0196683368111022e+18,2018-07-18,tijaniadeyemo1,GOOG,Wed,1195.8800048828125
261,1.0196695213956424e+18,2018-07-18,shi_shar,GOOG,Wed,1195.8800048828125
262,1.0196701161313976e+18,2018-07-18,_21stCenturyCox,GOOG,Wed,1195.8800048828125
263,1.0196714457424773e+18,2018-07-18,habeshanation,GOOG,Wed,1195.8800048828125
264,1.0196749317962998e+18,2018-07-18,royalhousofrock,GOOG,Wed,1195.8800048828125
265,1.0196777438045716e+18,2018-07-18,jedimarkus77,GOOG,Wed,1195.8800048828125
266,1.0196785098690314e+18,2018-07-18,TheMarketsDaily,GOOG,Wed,1195.8800048828125
267,1.0196785680649298e+18,2018-07-18,chickentraderrr,GOOG,Wed,1195.8800048828125
268,1.0196792772126761e+18,2018-07-18,TranscriptDaily,GOOG,Wed,1195.8800048828125
269,1.019679303490003e+18,2018-07-18,themarketisopen,GOOG,Wed,1195.8800048828125
270,1.0196793352241684e+18,2018-07-18,themarketisopen,GOOG,Wed,1195.8800048828125
271,1.0196793529785754e+18,2018-07-18,themarketisopen,GOOG,Wed,1195.8800048828125
272,1.0196795472167567e+18,2018-07-18,MareaInformativ,GOOG,Wed,1195.8800048828125
273,1.0196820962631148e+18,2018-07-18,WhitexSnake,GOOG,Wed,1195.8800048828125
274,1.0196831909009695e+18,2018-07-18,Briefingcom,GOOG,Wed,1195.8800048828125
275,1.0196846276470866e+18,2018-07-18,theflynews,GOOG,Wed,1195.8800048828125
276,1.0196866779866358e+18,2018-07-18,davidspitz,GOOG,Wed,1195.8800048828125
277,1.0196866899737354e+18,2018-07-18,gassee,GOOG,Wed,1195.8800048828125
278,1.0196870497697423e+18,2018-07-18,TradeCloserApp,GOOG,Wed,1195.8800048828125
279,1.019687512271401e+18,2018-07-18,wallstreetelix5,GOOG,Wed,1195.8800048828125
280,1.0196879828429046e+18,2018-07-18,whotrades,GOOG,Wed,1195.8800048828125
281,1.0196882919338721e+18,2018-07-18,wallstreetelix5,GOOG,Wed,1195.8800048828125
282,1.0196885937853112e+18,2018-07-18,BeefEnt,GOOG,Wed,1195.8800048828125
283,1.0196890807062241e+18,2018-07-18,nerdcriollo,GOOG,Wed,1195.8800048828125
284,1.0196903788265759e+18,2018-07-18,johnmknox,GOOG,Wed,1195.8800048828125
285,1.0196921907784294e+18,2018-07-18,DeliveringAlpha,GOOG,Wed,1195.8800048828125
286,1.019694729951359e+18,2018-07-18,rayaccountants,GOOG,Wed,1195.8800048828125
287,1.0196960722251489e+18,2018-07-18,YahooFinance,GOOG,Wed,1195.8800048828125
288,1.0196963791893955e+18,2018-07-18,vandegrift,GOOG,Wed,1195.8800048828125
289,1.0196975061989253e+18,2018-07-18,sep_sal,GOOG,Wed,1195.8800048828125
290,1.0196994997473772e+18,2018-07-18,wallstreetelix5,GOOG,Wed,1195.8800048828125
291,1.0197050144519496e+18,2018-07-18,1reasonIns,GOOG,Wed,1195.8800048828125
292,1.0197061516409774e+18,2018-07-18,syberstock,GOOG,Wed,1195.8800048828125
293,1.0197074257109811e+18,2018-07-18,KielO,GOOG,Wed,1195.8800048828125
294,1.0197083618964726e+18,2018-07-18,goodnewsbitches,GOOG,Wed,1195.8800048828125
295,1.0197099035884831e+18,2018-07-18,AlertsChina,GOOG,Wed,1195.8800048828125
296,1.0197106825755935e+18,2018-07-18,AValStreet,GOOG,Wed,1195.8800048828125
297,1.0197107110883942e+18,2018-07-18,American_Bulls,GOOG,Wed,1195.8800048828125
298,1.019712730469675e+18,2018-07-18,HrReisen,GOOG,Wed,1195.8800048828125
299,1.0197187129312543e+18,2018-07-18,BeefEnt,GOOG,Wed,1195.8800048828125
300,1.0197188932694426e+18,2018-07-18,shi_shar,GOOG,Wed,1195.8800048828125
301,1.0197214177624064e+18,2018-07-18,ramcqueary,GOOG,Wed,1195.8800048828125
302,1.0197235908901151e+18,2018-07-18,TradingWithCody,GOOG,Wed,1195.8800048828125
303,1.0197255363339837e+18,2018-07-18,BWirzba,GOOG,Wed,1195.8800048828125
304,1.019720209786114e+18,2018-07-18,ianbremmer,HRS,Wed,
305,1.0194088482333e+18,2018-07-18,optioncharts,HRS,Wed,
306,1.0194833223497441e+18,2018-07-18,WatchlistN,HRS,Wed,
307,1.0195360308553236e+18,2018-07-18,RatingsNetwork,HRS,Wed,
308,1.0195398942412923e+18,2018-07-18,dailypoliticaln,HRS,Wed,
309,1.0195402720767877e+18,2018-07-18,ZolmaxNews,HRS,Wed,
310,1.0197206597384806e+18,2018-07-18,Reuters,INTC,Wed,51.720001220703125
311,1.0197206597384806e+18,2018-07-18,Reuters,INTC,Wed,51.720001220703125
312,1.0193883629213368e+18,2018-07-18,StockScoops,INTC,Wed,51.720001220703125
313,1.019391232114602e+18,2018-07-18,YELLINGTRADER,INTC,Wed,51.720001220703125
314,1.0194125741636854e+18,2018-07-18,ArnericanSniper,INTC,Wed,51.720001220703125
315,1.0194398556029297e+18,2018-07-18,meen_srini,INTC,Wed,51.720001220703125
316,1.0194709344561316e+18,2018-07-18,ThisLincolnian,INTC,Wed,51.720001220703125
317,1.0194711559991992e+18,2018-07-18,TranscriptDaily,INTC,Wed,51.720001220703125
318,1.0194712518935716e+18,2018-07-18,WeekHerald,INTC,Wed,51.720001220703125
319,1.0194919821781688e+18,2018-07-18,SandraNooren,INTC,Wed,51.720001220703125
320,1.0195078316141978e+18,2018-07-18,ChartMill,INTC,Wed,51.720001220703125
321,1.0195146735599493e+18,2018-07-18,StockScoops,INTC,Wed,51.720001220703125
