,id,Date,source,symbols,dayofweek
304,1016315453520666600,2018-07-09,bibeypost_stock,LH,Mon
305,1016315479504416800,2018-07-09,247WallSt,HSY,Mon
306,1016315619430420500,2018-07-09,KennethMilesTa2,DCIX,Mon
307,1016315870770090000,2018-07-09,TalkMarkets,PNR,Mon
308,1016315897592475600,2018-07-09,andrescardenal,ANSS,Mon
309,1016315938134741000,2018-07-09,fatcoin88,NUAN,Mon
310,1016316555536158700,2018-07-09,PennyStocksMomo,HSY,Mon
311,1016316842032365600,2018-07-09,tleong_tat,UDR,Mon
312,1016317115534413800,2018-07-09,NPPtrades,ARRY,Mon
313,1016317664459919400,2018-07-09,adamgalas1,ALLE,Mon
314,1016317735217913900,2018-07-09,KGwrtr,WM,Mon
315,1016317807758364700,2018-07-09,Stock_News_Now,MUR,Mon
316,1016318773966622700,2018-07-09,TamaleNacho,GNCA,Mon
317,1016318925221584900,2018-07-09,RatingsNetwork,ETR,Mon
318,1016319390885863400,2018-07-09,MScreener,FIS,Mon
319,1016319629038440400,2018-07-09,MScreener,OKE,Mon
320,1016319682146684900,2018-07-09,WatchlistN,LH,Mon
321,1016319855023284200,2018-07-09,TickerReport,LH,Mon
322,1016320542448783400,2018-07-09,_____yago_____,KIM,Mon
323,1016320685352685600,2018-07-09,NPPtrades,ARRY,Mon
324,1016320936344244200,2018-07-09,TheMarketsDaily,BXP,Mon
325,1016320949724045300,2018-07-09,NickPoulopoulos,PAH,Mon
326,1016321087385362400,2018-07-09,gsi_momo_alerts,PAH,Mon
327,1016321618639908900,2018-07-09,AlertTrade,UDR,Mon
328,1016321621529956400,2018-07-09,tradnews_,UDR,Mon
329,1016322491264925700,2018-07-09,whotrades,AZO,Mon
330,1016322662031937500,2018-07-09,iSPYpotential,IP,Mon
331,1016322932941811700,2018-07-09,LargeVoidBot,DDR,Mon
332,1016323145354096600,2018-07-09,fred5068fred,UDR,Mon
333,1016323648729354200,2018-07-09,optioncharts,AVY,Mon
334,1016323814559486000,2018-07-09,LiveMarketChat,EXPD,Mon
335,1016324605924003800,2018-07-09,whotrades,ED,Mon
336,1016324607517737000,2018-07-09,1MinuteStock,HSIC,Mon
337,1016325685583855600,2018-07-09,Super1NYC,DLPH,Mon
338,1016328621114515500,2018-07-09,StockMetrixApp,AVY,Mon
339,1016328714764914700,2018-07-09,ZolmaxNews,ODP,Mon
340,1016328815000375300,2018-07-09,twj_optionsflow,PAH,Mon
341,1016329365448286200,2018-07-09,BeefEnt,ROST,Mon
342,1016329567349497900,2018-07-09,dailypoliticaln,ODP,Mon
343,1016329718860255200,2018-07-09,tradertob,HSIC,Mon
344,1016330105549967400,2018-07-09,BeefEnt,ODP,Mon
345,1016331645425782800,2018-07-09,OLEGEFF,CNP,Mon
346,1016331726547771400,2018-07-09,OLEGEFF,ED,Mon
347,1016332191700344800,2018-07-09,tabuhasna,NVAX,Mon
348,1016332205663162400,2018-07-09,tabuhasna,NVAX,Mon
349,1016332349003436000,2018-07-09,whatsonthorold2,MTD,Mon
350,1016332984268591100,2018-07-09,usratings,DLPH,Mon
351,1016333176606773200,2018-07-09,DividendSheet,PNR,Mon
352,1016333272954163200,2018-07-09,reurope_stock,MTD,Mon
353,1016333367678259200,2018-07-09,bibeypost_stock,MTD,Mon
354,1016333397491421200,2018-07-09,tymorapro,AON,Mon
355,1016333651951251500,2018-07-09,MarketCurrents,DLPH,Mon
356,1016333698076037100,2018-07-09,SwingTradeBot,HSIC,Mon
357,1016334675134984200,2018-07-09,w2beavfan,MOS,Mon
358,1016334788465250300,2018-07-09,ajbrzski,GNCA,Mon
359,1016335279110737900,2018-07-09,TopStockAlerts1,DLPH,Mon
360,1016335422174257200,2018-07-09,NewsToDesk,EL,Mon
361,1016335700885692400,2018-07-09,marcio_teruel,EMN,Mon
362,1016336119045279700,2018-07-09,TopStockAlerts1,HSY,Mon
363,1016336180609155100,2018-07-09,TopStockAlerts1,DLPH,Mon
364,1016336198971736000,2018-07-09,todays_function,VAR,Mon
365,1016336227849523200,2018-07-09,fatcoin88,NUAN,Mon
366,1016336503050588200,2018-07-09,OptionsMike,NUAN,Mon
367,1016336647112228900,2018-07-09,optioncharts,WM,Mon
368,1016336685985095700,2018-07-09,realmoney,KIM,Mon
369,1016336962288939000,2018-07-09,marcio_teruel,EMN,Mon
370,1016337634250063900,2018-07-09,timmyotoole23,IP,Mon
371,1016337908649857000,2018-07-09,optioncharts,MTD,Mon
372,1016338442748383200,2018-07-09,finzine,XYL,Mon
373,1016338583160942600,2018-07-09,15minofPham,PAH,Mon
374,1016338773137940500,2018-07-09,simpletrades4me,DCIX,Mon
375,1016338895125041200,2018-07-09,ProfitTradeRoom,PAH,Mon
376,1016339486354133000,2018-07-09,MC_OptionTrades,HIG,Mon
377,1016339582873489400,2018-07-09,BruceKamich,KIM,Mon
378,1016339835148292100,2018-07-09,eStockPicks,PAH,Mon
379,1016339959991726100,2018-07-09,OptionAlert,DLPH,Mon
380,1016340102539292700,2018-07-09,130nobeta,GNCA,Mon
381,1016340463069130800,2018-07-09,optioncharts,UHS,Mon
382,1016340534904983600,2018-07-09,DcrCharts,HSIC,Mon
383,1016340660541157400,2018-07-09,pelias01,TROW,Mon
384,1016340701997666300,2018-07-09,WinfieldSmart,DLPH,Mon
385,1016340766321504300,2018-07-09,pelias01,ED,Mon
386,1016342487978467300,2018-07-09,TradeWithTechs,HSIC,Mon
387,1016342932033503200,2018-07-09,QuantchaIdeas,ARRY,Mon
388,1016343167392723000,2018-07-09,whatsonthorold2,TROW,Mon
389,1016343546658525200,2018-07-09,reurope_stock,TROW,Mon
390,1016343623938531300,2018-07-09,whatsonthorold2,FBHS,Mon
391,1016343721808400400,2018-07-09,StockMetrixApp,EL,Mon
392,1016343745959288800,2018-07-09,MITickWatcher,DLPH,Mon
393,1016343760572158000,2018-07-09,MITickWatcher,DLPH,Mon
394,1016343884484497400,2018-07-09,Accurate_Trader,IRM,Mon
395,1016343932773584900,2018-07-09,SADIFAnalytics,HSY,Mon
396,1016343958694301700,2018-07-09,bibeypost_stock,TROW,Mon
397,1016344082334044200,2018-07-09,reurope_stock,FBHS,Mon
398,1016344196343447600,2018-07-09,ScottsdaleDoug,IRM,Mon
399,1016344309396918300,2018-07-09,bibeypost_stock,FBHS,Mon
400,1016344414464168000,2018-07-09,optioncharts,FRT,Mon
401,1016344584346128400,2018-07-09,WillSBritton1,FIS,Mon
402,1016345748374478800,2018-07-09,sdhillon275,ARRY,Mon
403,1016346018978369500,2018-07-09,WillSBritton1,IP,Mon
404,1016346125450858500,2018-07-09,TheMarketsDaily,RE,Mon
405,1016346703060963300,2018-07-09,twj_optionsflow,HSIC,Mon
406,1016346734350471200,2018-07-09,WinfieldSmart,DLPH,Mon
407,1016346794790477800,2018-07-09,WinfieldSmart,HSIC,Mon
408,1016347307028119600,2018-07-09,offbeatoperator,PAH,Mon
